zip_code_tabulation_area	B24091_001E
02905	42356
02906	65345
02907	30540
02908	42124
02909	35383
02910	47056
02911	50274
02912	9000
02914	41863
02915	51150
02916	52310
02917	62206
02919	50492
02920	50839
02921	70633
03031	75020
03032	66379
03033	79757
03034	57868
03036	77188
03037	56554
03038	49550
03042	55640
03043	60139
03044	60495
03045	56820
03046	67431
03047	51118
03048	51632
03049	103788
03051	59716
03052	61638
03053	61691
03054	65072
03055	51939
03057	64250
03060	41328
03062	63031
03063	50590
03064	48047
03070	56954
03071	53679
03076	66454
03077	49864
03079	55952
03082	61111
03084	54091
03086	50719
03087	83005
03101	44545
03102	40757
03103	40820
03104	47500
03106	57767
03109	57475
03110	86664
03215	108750
03216	46625
03217	31948
03218	52109
03220	39545
03221	45852
03222	42800
03223	52344
03224	53140
03225	43177
03226	51534
03227	49091
03229	55618
03230	40000
03231	75750
03233	158958
03234	51061
03235	41762
03237	49375
03238	43750
03240	41094
03241	45865
03242	55754
03243	41179
03244	56071
03245	38235
03246	40704
03249	47018
03251	31404
03253	55242
03254	48233
03255	57635
03256	53169
03257	56134
03258	54451
03259	44844
03260	70500
03261	52436
03262	45759
03263	42006
03264	47817
03266	40461
03268	47688
03269	55071
03273	56944
03275	49212
03276	46781
03278	54135
03279	35500
03280	56688
03281	53646
03282	37404
03284	45506
03285	38786
03287	54643
03290	64013
03291	-666666666
03293	35946
03301	47581
03303	46004
03304	72316
03307	40154
03431	45298
03440	43333
03441	27500
03442	44583
03443	46676
03444	45513
03445	44485
03446	41816
03447	49531
03448	43250
03449	50436
03450	47083
03451	42969
03452	40893
03455	44257
03456	46806
03457	48523
03458	59896
03461	51875
03462	74265
03464	51898
03465	37397
03466	56058
03467	51500
03470	39220
03561	36827
03570	41481
03574	41875
03575	36500
03576	39708
03579	51406
03580	48984
03581	47512
03582	35833
03583	38056
03584	40567
03585	39243
03586	63462
03588	38173
03590	30114
03592	34960
03593	51250
03595	43203
03597	50417
03598	41098
03601	46250
03602	49063
03603	37782
03604	54594
03605	52361
03607	42434
03608	46452
03609	42614
03740	41406
03741	49412
03743	41023
03745	50690
03746	61500
03748	51944
03750	97841
03751	26771
03752	47857
03753	63750
03754	-666666666
03755	71628
03765	35500
03766	52305
03768	86563
03770	61500
03771	41447
03773	47914
03774	42008
